Date,Open,High,Low,Close,Adj Close,Volume,OpenA,HighA,LowA,CloseA,Adj CloseA,VolumeA,OpenB,HighB,LowB,CloseB,Adj CloseB,VolumeB,OpenC,HighC,LowC,CloseC,Adj CloseC,VolumeC
2020-02-05,823.26001,845.97998,704.109985,734.700012,734.700012,48423800,2071.02002,2071.02002,2032,2039.869995,2039.869995,4376200,3899,3959.97998,3890.01001,3900.879883,3895.394287,400,1898.699951,1943.97998,1882.709961,1939.290039,1939.290039,552300
2020-02-06,699.919983,795.830017,687,748.960022,748.960022,39880800,2041.02002,2056.300049,2024.800049,2050.22998,2050.22998,3183000,3861,3950,3861,3862.01001,3856.579102,500,1958.900024,1972,1937.01001,1960.900024,1960.900024,412000
2020-02-07,730.549988,769.75,730,748.070007,748.070007,17063500,2041.98999,2098.530029,2038.099976,2079.280029,2079.280029,5095300,3850,3919.98999,3850,3872,3866.555176,200,1950.22998,1960,1904.160034,1909.589966,1909.589966,449500
2020-02-10,800,819.98999,752.400024,771.280029,771.280029,24689200,2085.01001,2135.600098,2084.959961,2133.909912,2133.909912,5056200,3870,3878,3815.629883,3815.629883,3810.26416,200,1901.689941,1912.589966,1883,1886.640015,1886.640015,470200
2020-02-11,768.789978,783.51001,758,774.380005,774.380005,11697500,2150.899902,2185.949951,2136,2150.800049,2150.800049,5746000,3859,3888,3816.379883,3825.02002,3819.641113,400,1894.47998,1918.890015,1892.619995,1909.300049,1909.300049,408900
2020-02-12,777.869995,789.75,763.369995,767.289978,767.289978,12022500,2163.199951,2180.25,2155.290039,2160,2160,3334300,3831.850098,3865,3801.01001,3825,3819.621094,300,1923.949951,1967,1911.209961,1960.359985,1960.359985,473200
2020-02-13,741.840027,818,735,804,804,26289300,2144.98999,2170.280029,2142,2149.870117,2149.870117,3031800,3858,3858,3790,3791.030029,3785.69873,300,1944,1960.880005,1929.099976,1959.939941,1959.939941,388800
2020-02-14,787.219971,812.969971,785.5,800.030029,800.030029,15693700,2155.679932,2159.040039,2125.889893,2134.870117,2134.870117,2606200,3799.209961,3800,3790,3795,3789.66333,200,1998.439941,2024.880005,1984.660034,1990.959961,1990.959961,535900
2020-02-18,841.599976,860,832.359985,858.400024,858.400024,16381700,2125.02002,2166.070068,2124.110107,2155.669922,2155.669922,2945600,3765.850098,3811.080078,3751.01001,3765.01001,3759.715576,1600,1972.25,1988.189941,1961.949951,1976.280029,1976.280029,363500
2020-02-19,923.5,944.780029,901.02002,917.419983,917.419983,25423000,2167.800049,2185.100098,2161.120117,2170.219971,2170.219971,2561200,3778.25,3840,3767,3799,3793.657471,1000,1982.76001,1989.98999,1962.319946,1968.48999,1968.48999,241300
