Date,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
2020-01-23,29111.019531,29190.470703,28966.980469,29160.089844,29160.089844,307060000,24577.25,24700.980469,24307.169922,24575.619141,24575.619141,318600000
2020-01-24,29230.390625,29288.789063,28843.310547,28989.730469,28989.730469,380010000,24579.960938,24626.300781,24422.730469,24553.240234,24553.240234,320170000
2020-01-27,28542.490234,28671.789063,28440.470703,28535.800781,28535.800781,337270000,24687.210938,24860.150391,24676.75,24737.199219,24737.199219,376890000
2020-01-28,28594.279297,28823.230469,28575.75,28722.849609,28722.849609,330140000,24596.980469,24596.980469,24323.939453,24528.220703,24528.220703,347170000
2020-01-29,28820.529297,28944.240234,28728.189453,28734.449219,28734.449219,302290000,24519.619141,24674.869141,24504.039063,24579.960938,24579.960938,330870000
2020-01-30,28640.160156,28879.710938,28489.759766,28859.439453,28859.439453,326850000,24826.519531,25109.619141,24790.900391,25014.859375,25014.859375,397330000
2020-01-31,28813.039063,28813.039063,28169.529297,28256.029297,28256.029297,403890000,24954.480469,25049.619141,24842.089844,24999.669922,24999.669922,507350000
2020-02-03,28319.650391,28630.390625,28319.650391,28399.810547,28399.810547,307910000,25025.310547,25193.150391,24982.490234,25063.890625,25063.890625,372090000
2020-02-04,28696.740234,28904.880859,28696.740234,28807.630859,28807.630859,332750000,25062.119141,25239.910156,24977.669922,25239.369141,25239.369141,298540000
2020-02-05,29048.730469,29308.890625,29000.849609,29290.849609,29290.849609,357540000,25287.929688,25427.320313,25287.650391,25411.519531,25411.519531,310650000
2020-02-06,29388.580078,29408.050781,29246.929688,29379.769531,29379.769531,263700000,25371.570313,25439.039063,25312.060547,25390.300781,25390.300781,247590000
2020-02-07,29286.919922,29286.919922,29056.980469,29102.509766,29102.509766,252860000,25265.810547,25314.259766,25000.519531,25169.529297,25169.529297,295460000
2020-02-10,28995.660156,29278.070313,28995.660156,29276.820313,29276.820313,250510000,25042.359375,25106.390625,24883.039063,25106.330078,25106.330078,248210000
2020-02-11,29390.710938,29415.390625,29210.470703,29276.339844,29276.339844,279540000,25142.810547,25196.75,25009.099609,25053.109375,25053.109375,241700000
2020-02-12,29406.75,29568.570313,29406.75,29551.419922,29551.419922,309530000,25152.029297,25458.980469,25152.029297,25425.759766,25425.759766,278110000
2020-02-13,29436.029297,29535.400391,29345.929688,29423.310547,29423.310547,291150000,25480.859375,25625.949219,25480.859375,25543.269531,25543.269531,263330000
2020-02-14,29440.470703,29463.039063,29283.179688,29398.080078,29398.080078,231000000,25460.650391,25558.900391,25308.089844,25439.390625,25439.390625,313010000
2020-02-18,29282.779297,29330.160156,29116.810547,29232.189453,29232.189453,256600000,25564.630859,25883.720703,25564.630859,25883.25,25883.25,328530000
2020-02-19,29312.699219,29409.089844,29274.380859,29348.029297,29348.029297,240640000,25849.849609,25961.439453,25820.009766,25891.320313,25891.320313,280620000
2020-02-20,29296.25,29368.449219,28959.650391,29219.980469,29219.980469,287780000,25872.259766,25986.199219,25846.480469,25954.439453,25954.439453,287880000
2020-02-21,29146.529297,29146.529297,28892.699219,28992.410156,28992.410156,311210000,25922.410156,25938.880859,25762.210938,25850.630859,25850.630859,255710000
2020-02-24,28402.929688,28402.929688,27912.439453,27960.800781,27960.800781,452580000,25906.269531,26052.900391,25906.269531,26031.810547,26031.810547,279760000
2020-02-25,28037.650391,28149.199219,26997.619141,27081.359375,27081.359375,513270000,26126.150391,26241.419922,26080.660156,26091.949219,26091.949219,281600000
2020-02-26,27159.460938,27542.779297,26890.970703,26957.589844,26957.589844,472450000,26051.609375,26155.289063,25966.009766,26057.980469,26057.980469,257850000
2020-02-27,26526,26775.310547,25752.820313,25766.640625,25766.640625,664980000,25995.599609,26039.679688,25877.240234,25985.160156,25985.160156,255380000
2020-02-28,25270.830078,25494.240234,24681.009766,25409.359375,25409.359375,915990000,25984.279297,26029.210938,25896.560547,25916,25916,338520000
2020-03-02,25590.509766,26706.169922,25391.960938,26703.320313,26703.320313,637200000,26019.669922,26143.919922,25914.369141,26026.320313,26026.320313,289890000
2020-03-03,26762.470703,27084.589844,25706.279297,25917.410156,25917.410156,647080000,26122.189453,26155.980469,25611.550781,25819.650391,25819.650391,295510000
2020-03-04,26383.679688,27102.339844,26286.310547,27090.859375,27090.859375,457590000,25829.070313,25877.150391,25725.630859,25806.630859,25806.630859,252260000
2020-03-05,26671.919922,26671.919922,25943.330078,26121.279297,26121.279297,477370000,25818.759766,25837.609375,25633.710938,25673.460938,25673.460938,256250000
2020-03-06,25457.210938,25994.380859,25226.619141,25864.779297,25864.779297,599780000,25645.449219,25645.449219,25352.550781,25473.230469,25473.230469,289140000
2020-03-09,24992.359375,24992.359375,23706.070313,23851.019531,23851.019531,750430000,25347.380859,25466.140625,25252.460938,25450.240234,25450.240234,270500000
2020-03-10,24453,25020.990234,23690.339844,25018.160156,25018.160156,654860000,25208,25661.630859,25208,25650.880859,25650.880859,309790000
2020-03-11,24604.630859,24604.630859,23328.320313,23553.220703,23553.220703,663960000,25600.300781,25675.439453,25522.169922,25554.660156,25554.660156,317730000
2020-03-12,22184.710938,22837.949219,21154.460938,21200.619141,21200.619141,908260000,25637.230469,25776.490234,25571.310547,25702.890625,25702.890625,331410000
2020-03-13,21973.820313,23189.759766,21285.369141,23185.619141,23185.619141,843080000,25692.310547,25752.839844,25621.310547,25709.939453,25709.939453,302790000
2020-03-16,20917.529297,21768.279297,20116.460938,20188.519531,20188.519531,770130000,25720.960938,25927.910156,25649.699219,25848.869141,25848.869141,616910000
2020-03-17,20487.050781,21379.349609,19882.259766,21237.380859,21237.380859,793060000,25801.880859,25924.769531,25785.660156,25914.099609,25914.099609,399530000
2020-03-18,20188.689453,20489.330078,18917.460938,19898.919922,19898.919922,871360000,25987.869141,26109.679688,25814.919922,25887.380859,25887.380859,342250000
2020-03-19,19830.009766,20442.630859,19177.130859,20087.189453,20087.189453,780300000,25867.789063,25929.519531,25670.630859,25745.669922,25745.669922,321980000
2020-03-20,20253.150391,20531.259766,19094.269531,19173.980469,19173.980469,872290000,25688.439453,26009.900391,25657.779297,25962.509766,25962.509766,335250000
2020-03-23,19028.359375,19121.009766,18213.650391,18591.929688,18591.929688,787970000,25844.650391,25877.009766,25501.449219,25502.320313,25502.320313,386510000
2020-03-24,19722.189453,20737.699219,19649.25,20704.910156,20704.910156,799340000,25490.720703,25603.269531,25372.259766,25516.830078,25516.830078,303120000
2020-03-25,21050.339844,22019.929688,20538.339844,21200.550781,21200.550781,796320000,25649.560547,25796.289063,25544.779297,25657.730469,25657.730469,305110000
2020-03-26,21468.380859,22595.060547,21427.099609,22552.169922,22552.169922,705180000,25676.339844,25758.169922,25425.269531,25625.589844,25625.589844,270340000
2020-03-27,21898.470703,22327.570313,21469.269531,21636.779297,21636.779297,588830000,25693.320313,25743.410156,25576.689453,25717.460938,25717.460938,237170000
2020-03-30,21678.220703,22378.089844,21522.080078,22327.480469,22327.480469,545540000,25827.310547,25949.320313,25771.669922,25928.679688,25928.679688,300620000
2020-03-31,22208.419922,22480.369141,21852.080078,21917.160156,21917.160156,571210000,26075.099609,26280.900391,26071.689453,26258.419922,26258.419922,295570000
2020-04-01,21227.380859,21487.240234,20784.429688,20943.509766,20943.509766,506680000,26213.550781,26221.240234,26122.310547,26179.130859,26179.130859,250940000
2020-04-02,20819.460938,21477.769531,20735.019531,21413.439453,21413.439453,529540000,26238.029297,26282.169922,26138.470703,26218.130859,26218.130859,271980000
2020-04-03,21285.929688,21447.810547,20863.089844,21052.529297,21052.529297,450010000,26213.419922,26398.900391,26212.779297,26384.630859,26384.630859,233040000
2020-04-06,21693.630859,22783.449219,21693.630859,22679.990234,22679.990234,610760000,26427.560547,26487.570313,26370.820313,26424.990234,26424.990234,229550000
2020-04-07,23537.439453,23617.240234,22634.449219,22653.859375,22653.859375,594660000,26312.669922,26344.650391,26246.029297,26341.019531,26341.019531,229380000
2020-04-08,22893.470703,23513.400391,22682.990234,23433.570313,23433.570313,472740000,26243.539063,26246.339844,26103.140625,26150.580078,26150.580078,244410000
2020-04-09,23690.660156,24008.990234,23504.089844,23719.369141,23719.369141,566400000,26173.710938,26209.490234,26101.240234,26157.160156,26157.160156,203130000
2020-04-13,23698.929688,23698.929688,23095.349609,23390.769531,23390.769531,394320000,26188.210938,26229.880859,26062.589844,26143.050781,26143.050781,211680000
2020-04-14,23690.570313,24040.580078,23683.439453,23949.759766,23949.759766,485910000,26357.789063,26436.679688,26309.720703,26412.300781,26412.300781,369910000
2020-04-15,23600.720703,23649.720703,23233.320313,23504.349609,23504.349609,437630000,26407.759766,26424.849609,26316.419922,26384.769531,26384.769531,250620000
2020-04-16,23543.660156,23598.080078,23211.380859,23537.679688,23537.679688,471050000,26482.189453,26530.710938,26397.189453,26452.660156,26452.660156,302340000
2020-04-17,23817.150391,24264.210938,23817.150391,24242.490234,24242.490234,525950000,26468.529297,26501.019531,26391.859375,26449.539063,26449.539063,367780000
2020-04-20,24095.099609,24108.689453,23627.189453,23650.439453,23650.439453,423410000,26463.369141,26602.419922,26444.529297,26559.539063,26559.539063,332850000
2020-04-21,23365.25,23365.25,22941.880859,23018.880859,23018.880859,485140000,26510.769531,26553.050781,26458.609375,26511.050781,26511.050781,232570000
2020-04-22,23437.339844,23613.099609,23339.599609,23475.820313,23475.820313,352880000,26513.830078,26695.960938,26503.560547,26656.390625,26656.390625,311690000
2020-04-23,23543.089844,23885.359375,23483.349609,23515.259766,23515.259766,389290000,26652.560547,26680.580078,26582.859375,26597.050781,26597.050781,283370000
2020-04-24,23628.240234,23826,23417.679688,23775.269531,23775.269531,376020000,26426.369141,26536.480469,26310.279297,26462.080078,26462.080078,296730000
2020-04-27,23866.150391,24207.650391,23840.609375,24133.779297,24133.779297,389390000,26454.619141,26543.560547,26392.550781,26543.330078,26543.330078,317290000
2020-04-28,24357.169922,24512.240234,24031.199219,24101.550781,24101.550781,400250000,26559.869141,26602.539063,26520.75,26554.390625,26554.390625,279450000
2020-04-29,24490.369141,24764.769531,24453.990234,24633.859375,24633.859375,455290000,26594.560547,26614.039063,26419.470703,26592.910156,26592.910156,340320000
