Date,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close1,Volume,Open,High,Low,Close,Adj Close2,Volume,Open,High,Low,Close,Adj Close3,Volume
2019-10-22,241.160004,242.199997,239.619995,239.960007,238.030945,20573400,271.160004,275.410004,265.799988,266.690002,266.690002,11802400,190,190.649994,181.5,182.339996,182.339996,19537600,254.320007,258.329987,250.850006,255.580002,255.580002,4600800
2019-10-23,242.100006,243.240005,241.220001,243.179993,241.225052,18957200,268.059998,273.920013,266.630005,271.269989,271.269989,7133500,182.009995,186.380005,182,186.149994,186.149994,12300400,254.5,256.140015,251.350006,254.679993,254.679993,5261100
2019-10-24,244.509995,244.800003,241.809998,243.580002,241.621826,17318800,271.809998,274.019989,268.799988,271.5,271.5,4827400,184.619995,186.729996,182.800003,186.380005,186.380005,11413500,298.369995,304.929993,289.200012,299.679993,299.679993,29720900
2019-10-25,243.160004,246.729996,242.880005,246.580002,244.597717,18369300,270.679993,277.769989,270.179993,276.820007,276.820007,4747800,185.830002,189,185.089996,187.889999,187.889999,8061200,297.720001,330,296.109985,328.130005,328.130005,30006100
2019-10-28,247.419998,249.25,246.720001,249.050003,247.047867,24143200,278.049988,285.75,277.350006,281.859985,281.859985,6248400,187.199997,189.529999,185.080002,189.399994,189.399994,13657900,327.540009,340.839996,322.600006,327.709991,327.709991,18870300
2019-10-29,248.970001,249.75,242.570007,243.289993,241.334152,35709900,281.869995,284.410004,277.549988,281.209991,281.209991,4356200,191.690002,192.529999,188.470001,189.309998,189.309998,13574900,319.98999,324.299988,314.75,316.220001,316.220001,12684300
2019-10-30,244.759995,245.300003,241.210007,243.259995,241.304398,31130500,284.339996,293.48999,283,291.450012,291.450012,9345600,189.559998,190.449997,185.979996,188.25,188.25,28734600,313,318.790009,309.970001,315.01001,315.01001,9641800
2019-10-31,247.240005,249.169998,237.259995,248.759995,246.760193,34790500,291,291.450012,284.779999,287.410004,287.410004,5090000,196.699997,198.089996,188.25,191.649994,191.649994,42286500,313.100006,319,313,314.920013,314.920013,5067000
2019-11-01,249.539993,255.929993,249.160004,255.820007,253.763443,37781300,288.700012,289.119995,283.019989,286.809998,286.809998,5594300,192.850006,194.110001,189.910004,193.619995,193.619995,21711800,316.320007,316.480011,309.799988,313.309998,313.309998,6383900
2019-11-04,257.329987,257.850006,255.380005,257.5,255.429932,25818000,288,295.390015,287.160004,292.859985,292.859985,5566200,194.550003,197.369995,193.809998,194.720001,194.720001,16371300,314.799988,321.940002,309.26001,317.470001,317.470001,8787000
